0	0.000000
1	-0.004651
2	0.009688
3	0.036317
4	0.071316
5	0.109337
6	0.144367
7	0.170837
8	0.184874
9	0.185326
10	0.174178
11	0.156204
12	0.137972
13	0.126518
14	0.128004
15	0.146558
16	0.183357
17	0.235986
18	0.298204
19	0.360455
20	0.411433
21	0.440682
22	0.441492
23	0.412903
24	0.359849
25	0.291385
26	0.217891
27	0.148478
28	0.089417
29	0.043726
30	0.011580
31	-0.008921
32	-0.020901
33	-0.027938
34	-0.033393
35	-0.039906
36	-0.049058
37	-0.061211
38	-0.075501
39	-0.089987
40	-0.101888
41	-0.107857
42	-0.104218
43	-0.087194
44	-0.053175
45	0.000854
46	0.076613
47	0.173501
48	0.287300
49	0.409088
50	0.525180
51	0.618976
52	0.674925
53	0.683355
54	0.643829
55	0.565090
56	0.461619
57	0.348816
58	0.239156
59	0.140491
60	0.056270
61	-0.013269
62	-0.069736
63	-0.115480
64	-0.152872
65	-0.183930
66	-0.210199
67	-0.232767
68	-0.252332
69	-0.269296
70	-0.283873
71	-0.296175
72	-0.306272
73	-0.314220
74	-0.320094
75	-0.324009
76	-0.326126
77	-0.326643
78	-0.325780
79	-0.323788
80	-0.320945
81	-0.317534
82	-0.313830
83	-0.310090
84	-0.306558
85	-0.303445
86	-0.300915
87	-0.299077
88	-0.297992
89	-0.297673
90	-0.298078
91	-0.299109
92	-0.300636
93	-0.302507
94	-0.304553
95	-0.306593
96	-0.308454
97	-0.309991
98	-0.311090
99	-0.311664


0	0.000000
1	-0.003570
2	0.010741
3	0.037307
4	0.072202
5	0.110066
6	0.144884
7	0.171096
8	0.184845
9	0.185002
10	0.173577
11	0.155362
12	0.136932
13	0.125326
14	0.126700
15	0.145182
16	0.181956
17	0.234623
18	0.296966
19	0.359443
20	0.410751
21	0.440411
22	0.441660
23	0.413480
24	0.360753
25	0.292504
26	0.219112
27	0.149707
28	0.090585
29	0.044792
30	0.012517
31	-0.008126
32	-0.020259
33	-0.027453
34	-0.033069
35	-0.039742
36	-0.049049
37	-0.061346
38	-0.075767
39	-0.090369
40	-0.102375
41	-0.108442
42	-0.104903
43	-0.087985
44	-0.054085
45	-0.000188
46	0.075441
47	0.172220
48	0.285972
49	0.407823
50	0.524125
51	0.618292
52	0.674736
53	0.683703
54	0.644658
55	0.566262
56	0.462963
57	0.350174
58	0.240409
59	0.141573
60	0.057154
61	-0.012582
62	-0.069227
63	-0.115124
64	-0.152642
65	-0.183801
66	-0.210148
67	-0.232773
68	-0.252377
69	-0.269368
70	-0.283960
71	-0.296268
72	-0.306364
73	-0.314306
74	-0.320171
75	-0.324075
76	-0.326182
77	-0.326687
78	-0.325814
79	-0.323812
80	-0.320962
81	-0.317546
82	-0.313838
83	-0.310097
84	-0.306566
85	-0.303456
86	-0.300930
87	-0.299098
88	-0.298019
89	-0.297708
90	-0.298120
91	-0.299159
92	-0.300693
93	-0.302571
94	-0.304622
95	-0.306667
96	-0.308533
97	-0.310073
98	-0.311173
99	-0.311749


0	0.000000
1	-0.002487
2	0.011796
3	0.038299
4	0.073087
5	0.110794
6	0.145401
7	0.171354
8	0.184814
9	0.184677
10	0.172975
11	0.154519
12	0.135893
13	0.124135
14	0.125397
15	0.143807
16	0.180557
17	0.233262
18	0.295727
19	0.358430
20	0.410068
21	0.440136
22	0.441826
23	0.414055
24	0.361655
25	0.293622
26	0.220333
27	0.150936
28	0.091756
29	0.045859
30	0.013456
31	-0.007331
32	-0.019616
33	-0.026969
34	-0.032746
35	-0.039579
36	-0.049040
37	-0.061481
38	-0.076032
39	-0.090751
40	-0.102861
41	-0.109026
42	-0.105585
43	-0.088775
44	-0.054993
45	-0.001227
46	0.074270
47	0.170941
48	0.284646
49	0.406558
50	0.523069
51	0.617605
52	0.674542
53	0.684047
54	0.645483
55	0.567432
56	0.464307
57	0.351532
58	0.241664
59	0.142657
60	0.058039
61	-0.011893
62	-0.068717
63	-0.114767
64	-0.152412
65	-0.183672
66	-0.210096
67	-0.232778
68	-0.252423
69	-0.269439
70	-0.284046
71	-0.296360
72	-0.306455
73	-0.314392
74	-0.320248
75	-0.324142
76	-0.326237
77	-0.326732
78	-0.325847
79	-0.323837
80	-0.320979
81	-0.317558
82	-0.313846
83	-0.310104
84	-0.306573
85	-0.303466
86	-0.300945
87	-0.299118
88	-0.298047
89	-0.297742
